"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R03p08.A01",0.0135036350722415,2.44636081118632e-23,0.986496364927758,8.60214218449207e-39,3,"S004-13","B",0.986496364927758
"DI18R03p08.A02",0.999977566991422,6.33524573274566e-31,2.24330085775976e-05,5.52413227402752e-47,1,"S006-44","A",0.999977566991422
"DI18R03p08.A03",0.999646596341646,4.58226398958991e-28,0.00035340365835415,3.05765504790719e-49,1,"S006-43","A",0.999646596341646
"DI18R03p08.A04",3.75605404818208e-31,0.999999999999999,1.0743368495402e-15,5.29650130525453e-29,2,"S009-215","C",0.999999999999999
"DI18R03p08.A05",0.999091251121757,2.41903848393065e-29,0.000908748878243267,4.26822991406109e-47,1,"S010-9","A",0.999091251121757
"DI18R03p08.B01",0.95047347426933,9.80994640730478e-21,0.0495265257306699,8.24093303089072e-39,1,"S009-100","A",0.95047347426933
"DI18R03p08.B02",1.82013731090197e-53,2.24955256602589e-35,4.76805892708756e-36,1,4,"S011-22","D",1
"DI18R03p08.B03",4.47524133212302e-21,0.998342719909069,0.00165728009044972,4.81022475405851e-13,2,"S006-84","C",0.998342719909069
"DI18R03p08.B04",6.35854389641663e-10,5.26648196378891e-19,0.999999999364146,3.03513650155505e-43,3,"S010-103","B",0.999999999364146
"DI18R03p08.B05",0.999998179775768,3.81861723475666e-33,1.8202242319081e-06,9.05110341701151e-51,1,"S009-16","A",0.999998179775768
"DI18R03p08.C01",1.42937506879784e-05,7.51124934930406e-09,0.999985698738063,4.08344668628382e-19,3,"S003-101","B",0.999985698738063
"DI18R03p08.C03",5.89653355351033e-25,0.99999999987362,1.26380004329575e-10,6.69518650486199e-20,2,"S010-141","C",0.99999999987362
"DI18R03p08.C04",1.36055021360508e-43,5.66974503773021e-25,8.34953931865239e-30,1,4,"S011-16","D",1
"DI18R03p08.D01",2.06809433184075e-35,1,3.3960956847739e-18,4.67994226891742e-22,2,"S009-192","C",1
"DI18R03p08.D02",0.000126597429409376,5.61388779494192e-09,0.999873396956703,5.3353431139737e-19,3,"S003-72","B",0.999873396956703
"DI18R03p08.D03",0.993419414692826,6.181974435703e-29,0.00658058530717395,2.47252998198902e-47,1,"S010-38","A",0.993419414692826
"DI18R03p08.D04",6.64120967800113e-56,4.33993791650685e-10,1.25366068558781e-30,0.999999999566006,4,"S011-56","D",0.999999999566006
"DI18R03p08.E01",1.39716565834553e-13,0.999972266255138,2.77337447223786e-05,3.21126610989909e-18,2,"S006-136","C",0.999972266255138
"DI18R03p08.E02",4.76266508129779e-05,4.2944486425283e-27,0.999952373349187,7.78831026401038e-45,3,"S004-52","B",0.999952373349187
"DI18R03p08.E03",1.02552082017159e-07,2.87535041905732e-14,0.999999897447889,3.74715907950429e-35,3,"S009-123","B",0.999999897447889
"DI18R03p08.E04",6.76839293692194e-21,0.999725599162298,0.00027440083770187,1.04958457878195e-31,2,"S004-194","C",0.999725599162298
"DI18R03p08.F02",0.000208781107933349,1.03920066428953e-07,0.999791114972,1.19565589216449e-33,3,"S007-72","B",0.999791114972
"DI18R03p08.F03",9.9510879050767e-05,4.33121751885876e-26,0.999900489120949,3.377941430479e-44,3,"S004-61","B",0.999900489120949
"DI18R03p08.F04",8.3810818248864e-05,1.27737863060575e-08,0.9999161764078,1.6507120372286e-13,3,"S006-64","B",0.9999161764078
"DI18R03p08.F12",6.61140804610065e-42,1,2.23490562676233e-22,1.50060685404551e-20,2,"S006-176","C",1
"DI18R03p08.G01",3.18855602482183e-22,0.999999927102807,7.28971925195488e-08,1.68973481251881e-17,2,"S007-88","C",0.999999927102807
"DI18R03p08.G02",0.99999978938892,4.8555074692704e-30,2.10611080281444e-07,5.78310232074742e-55,1,"S005-26","A",0.99999978938892
"DI18R03p08.G03",3.7542391483861e-31,0.999999999999999,1.23687799457939e-15,1.75221023558716e-23,2,"S006-186","C",0.999999999999999
"DI18R03p08.G04",0.999953989756199,6.99976597306527e-25,4.60102438009817e-05,1.82099428504674e-47,1,"S005-43","A",0.999953989756199
"DI18R03p08.G12",0.197783852718864,3.65105187279497e-21,0.802216147281136,7.83995862575942e-44,3,"S005-106","B",0.802216147281136
"DI18R03p08.H01",0.999999999949855,5.82557463874691e-32,5.01448155655757e-11,1.19452686431735e-66,1,"S003-6","A",0.999999999949855
"DI18R03p08.H02",5.77038262639883e-36,0.999999999999948,3.71632548291071e-14,1.48050752568654e-14,2,"S006-148","C",0.999999999999948
"DI18R03p08.H03",2.75250606824177e-20,0.0842828813190544,0.915717118678987,1.95903966292404e-12,3,"S006-76","B",0.915717118678987
"DI18R03p08.H04",0.997742615186837,1.89754173876186e-22,0.00225738481316333,2.42213949123894e-43,1,"S005-69","A",0.997742615186837
"DI18R06p07.A01",0.000960382440921946,1.13625064702524e-06,0.999038481308431,1.14694574842263e-18,3,"S003-99","B",0.999038481308431
