"","product","Freq","CAT"
"1","hypothetical protein",7913,"Unknown/Hypothetical"
"2","Integrase",192,"Replication_indicationlysogeny"
"3","tail protein",158,"Structural"
"4","PORTAL PROTEIN",138,"Structural"
"5","major capsid protein",104,"Structural"
"6","large terminase",100,"Assembly"
"7","HTH_XRE",98,"Transcription_regulation_indicationlysogeny"
"8","minor tail protein",95,"Structural"
"9","Bacteriophage holin",91,"Entry_Escape"
"10","minor capsid protein",90,"Structural"
"11","Repressor protein CI",89,"Transcription_regulation_indicationlysogeny"
"12","portal protein",87,"Structural"
"13","Large Terminase",78,"Assembly"
"14","IrrE protein",77,"Other"
"15","Endodeoxyribonuclease RusA",66,"Replication_repairanrecombination"
"16","Single strand binding protein",62,"Replication_general"
"17","Major capsid protein",59,"Structural"
"18","Terminase small subunit",58,"Assembly"
"19","tail component",56,"Structural"
"20","minor structural protein",54,"Structural"
"21","DISTAL TAIL PROTEIN",54,"Structural"
"22","tail tube protein",53,"Structural"
"23","Helix-turn-helix domain",53,"Transcription_regulation"
"24","Minor capsid protein",52,"Structural"
"25","Head Tail Connector Protein",51,"Structural"
"26","RecT protein",49,"Replication_repairanrecombination_indicationlysogeny"
"27","Protein of unknown function (DUF1642)",47,"Unknown/Hypothetical"
"28","Protein of unknown function (DUF551)",44,"Unknown/Hypothetical"
"29","putative tail component",43,"Structural"
"30","prohead serine protease",41,"Assembly"
"31","homing endonuclease",41,"Replication_repairanrecombination"
"32","phage replisome organiser",40,"Replication_general"
"33","Protein of unknown function (DUF722)",39,"Unknown/Hypothetical"
"34","P22_AR repressor domain protein",39,"Transcription_regulation_indicationlysogeny"
"35","Helix-turn-helix XRE-family like proteins",39,"Transcription_regulation"
"36","dUTPase",39,"NucleotideMetabolism"
"37","nucelotide kinase",38,"NucleotideMetabolism"
"38","YopX protein",37,"Other"
"39","HNH endonuclease",36,"Replication_repairanrecombination"
"40","Baseplate J like protein",35,"Structural"
"41","Chromatin remodeling complex ATPase",34,"Replication_repairanrecombination"
"42","Cell wall hydrolase autolysin",34,"Entry_Escape"
"43","tail tape measure protein",33,"Structural"
"44","REPRESSOR PROTEIN",32,"Transcription_regulation_indicationlysogeny"
"45","Putative ATP dependent protease",32,"Assembly"
"46","Protein of unknown function (DUF1351)",32,"Unknown/Hypothetical"
"47","AAA domain protein",32,"Assembly"
"48","Replication associated protein",30,"Replication_general"
"49","Exonuclease",30,"Replication_general"
"50","ERF superfamily",30,"Replication_repairanrecombination"
"51","SOS-response transcriptional repressor, LexA, GFT, Structural Genomics, PSI-2",29,"Replication_repairanrecombination_indicationlysogeny"
"52","INTEGRASE",29,"Replication_indicationlysogeny"
"53","Cytosine specific methyltransferase",29,"Take-over"
"54","terminase small subunit",28,"Assembly"
"55","Nuclease",28,"Replication_repairanrecombination"
"56","Terminase large subunit",27,"Assembly"
"57","Peptidase M15",27,"Entry_Escape"
"58","N-acetylmuramoyl-L-alanine amidase",27,"Entry_Escape"
"59","terminase, small subunit",26,"Assembly"
"60","Replicative helicase",26,"Replication_general"
"61","Protein of unknown function (DUF1492)",26,"Unknown/Hypothetical"
"62","resistance protein",25,"Other"
"63","PROPHAGE LAMBDALM01 ANTIGEN",25,"Other"
"64","PHOSPHOADENOSINE PHOSPHOSULPHATE REDUCTASE",25,"NucleotideMetabolism"
"65","NinB protein",25,"Replication_repairanrecombination"
"66","Putative head tail adaptor",24,"Structural"
"67","Portal Protein",24,"Structural"
"68","GP23.1 PROTEIN.61A",24,"Unknown/Hypothetical"
"69","Bacteriophage Gp15 protein",24,"Unknown/Hypothetical"
"70","Phage stabilisation protein",23,"Assembly"
"71","NTP-PPase_u3",23,"Other"
"72","Single stranded DNA binding protein",22,"Replication_general"
"73","Replicative helicase, DNA primase",22,"Replication_general"
"74","GH25_LysA like endolysin",22,"Entry_Escape"
"75","Distal tail protein",22,"Structural"
"76","Putative HNHc nuclease",21,"Replication_repairanrecombination"
"77","Endolysin",21,"Entry_Escape"
"78","Protein of unknown function (DUF2577)",20,"Unknown/Hypothetical"
"79","Phage tail tube protein",20,"Structural"
"80","PcfJ like protein",20,"Other"
"81","ParB protein",20,"Replication_repairanrecombination_indicationlysogeny"
"82","Head fiber protein",20,"Structural"
"83","Distal Tail Protein, gp58, Tail-Associated tail, tail tip, tape.7A",20,"Structural"
"84","Baseplate",20,"Structural"
"85","Uncharacterized conserved protein",19,"Unknown/Hypothetical"
"86","Tail tape measure",19,"Structural"
"87","SITE SPECIFIC RECOMBINASE XERD",19,"Replication_indicationlysogeny"
"88","Phage_holin_5_1",19,"Entry_Escape"
"89","HOLLIDAY JUNCTION RESOLVASE HOMOLOGOUS RECOMBINATION",19,"Replication_repairanrecombination"
"90","Siphovirus protein of unknown function (DUF859)",18,"Unknown/Hypothetical"
"91","Phage tail assembly chaperone protein, TAC",18,"Assembly"
"92","Phage tail assembly chaperone protein",18,"Assembly"
"93","phage major capsid protein, HK97 family",18,"Structural"
"94","Domain of unknown function (DUF4969)",18,"Unknown/Hypothetical"
"95","DNA POLYMERASE",18,"Replication_general"
"96","43 kDa tail protein",18,"Structural"
"97","Pyocin activator protein PrtN",17,"Transcription_regulation"
"98","Phage tail assembly chaperone protein Gp14 ()A118",17,"Assembly"
"99","GH25_PlyB like endolysin",17,"Entry_Escape"
"100","Endonuclease",17,"Replication_general"
"101","CHROMOSOME PARTITIONING PROTEIN PARB",17,"Replication_repairanrecombination_indicationlysogeny"
"102","Restriction alleviation protein Lar",16,"Take-over"
"103","Protein of unknown function (DUF669)",16,"Unknown/Hypothetical"
"104","NinG recombination protein",16,"Replication_repairanrecombination"
"105","Methyltransferase domain",16,"Take-over"
"106","Major tail protein",16,"Structural"
"107","head tail connector",16,"Structural"
"108","Baseplate wedge protein",16,"Structural"
"109","YycJ-like_MBL-fold",15,"Other"
"110","Tail assembly protein",15,"Assembly"
"111","tail assembly chaperone protein",15,"Assembly"
"112","Siphovirus ReqiPepy6 Gp37-like protein",15,"Structural"
"113","Regulatory protein/DNA Complex-sensing repressor, gene regulation, RsaL-DNA MSE.4A",15,"Transcription_regulation"
"114","Protein of unknown function (DUF2829)",15,"Unknown/Hypothetical"
"115","Protein of unknown function (DUF2800)",15,"Unknown/Hypothetical"
"116","Protein of unknown function (DUF2634)",15,"Unknown/Hypothetical"
"117","Phage XkdN-like tail assembly chaperone protein, TAC",15,"Assembly"
"118","phage transcriptional activator, RinA family",15,"Transcription_regulation"
"119","ORF6C domain",15,"Unknown/Hypothetical"
"120","Large subunit terminase",15,"Assembly"
"121","KilAC domain protein",15,"Take-over"
"122","Distal Tail protein",15,"Structural"
"123","STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN",14,"Replication_repairanrecombination"
"124","Protein of unknown function (DUF2612)",14,"Unknown/Hypothetical"
"125","IrrE N-terminal-like domain",14,"Other"
"126","Cro/C1-type HTH DNA-binding domain",14,"Transcription_regulation"
"127","Chromosome partition protein Smc",14,"Replication_repairanrecombination"
"128","Bacteriophage HK97-gp10, putative tail-component",14,"Structural"
"129","Transposase",13,"Replication_repairanrecombination"
"130","Tail tubular protein A",13,"Structural"
"131","RT_G2_intron",13,"Replication_general"
"132","replisome organizer",13,"Replication_general"
"133","Predicted transcriptional regulators",13,"Transcription_regulation"
"134","Phage tail collar fibre protein",13,"Structural"
"135","PD (D E)XK nuclease superfamily",13,"Replication_general"
"136","minor tail protein L",13,"Structural"
"137","Minor capsid protein from bacteriophage",13,"Structural"
"138","Head decoration protein",13,"Structural"
