"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_1_length_34049_cov_2606_462911_S005-182","Viruses","Adenoviridae","Mastadenovirus","Human mastadenovirus F","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_1","Singleton_ClusterID1",NA,"Singleton_ClusterID12",NA,"Vertebrates","Vertebrates","NODE_1_length_34049_cov_2606_462911_S005-182","Human mastadenovirus F"
"NODE_10_length_2411_cov_4_209512_S010-1","Viruses","Herpesviridae","Roseolovirus","Human betaherpesvirus 6B","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_10_length_2411_cov_4_209512_S010-1","Human betaherpesvirus 6B"
"NODE_10_length_7417_cov_641_205041_S007-129","Viruses","Picornaviridae","Enterovirus","Enterovirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_3","Singleton_ClusterID3",NA,"Singleton_ClusterID113",NA,"Vertebrates","Vertebrates","NODE_10_length_7417_cov_641_205041_S007-129","Enterovirus Aa"
"NODE_10_length_7428_cov_1485_110461_S009-185","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_4","NOTSURE_ClusterID4",NA,"NOTSURE_ClusterID114",NA,"Vertebrates","Vertebrates","NODE_10_length_7428_cov_1485_110461_S009-185","Enterovirus Ba"
"NODE_100_length_2744_cov_8_952756_S007-99","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID5",NA,"Singleton_ClusterID135",NA,"Vertebrates","Vertebrates","NODE_100_length_2744_cov_8_952756_S007-99","Torque teno mini virus 10"
"NODE_1001_length_2333_cov_14_170656_S010-123","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 7","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1001_length_2333_cov_14_170656_S010-123","Torque teno mini virus 7"
"NODE_1006_length_1854_cov_7_152504_S003-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_1006_length_1854_cov_7_152504_S003-141","0"
"NODE_101_length_1329_cov_4_199681_S011-79","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID7",NA,"Singleton_ClusterID249",NA,"Vertebrates","Vertebrates","NODE_101_length_1329_cov_4_199681_S011-79","0"
"NODE_101_length_2341_cov_8_321555_S011-87","Viruses","Polyomaviridae","Deltapolyomavirus","Human polyomavirus 10","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_101_length_2341_cov_8_321555_S011-87","Human polyomavirus 10"
"NODE_101_length_2685_cov_301_532209_S004-178","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_101_length_2685_cov_301_532209_S004-178","0"
"NODE_102_length_2469_cov_10_422241_S009-181","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID4",NA,"NOTSURE_ClusterID114",NA,"Vertebrates","Vertebrates","NODE_102_length_2469_cov_10_422241_S009-181","0"
