"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_1_length_132500_cov_25_889007_S010-157","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID1","Singleton_ClusterID3","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_132500_cov_25_889007_S010-157","0"
"NODE_1_length_150337_cov_567_676181_S011-38","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID2","Singleton_ClusterID4","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_150337_cov_567_676181_S011-38","0"
"NODE_1_length_165703_cov_22_552951_S011-15","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID3","Singleton_ClusterID5","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_165703_cov_22_552951_S011-15","0"
"NODE_1_length_17528_cov_28_810326_S005-180","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID4","NOTSURE_ClusterID6","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_17528_cov_28_810326_S005-180","0"
"NODE_1_length_22080_cov_15_691815_S003-142","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_22080_cov_15_691815_S003-142","0"
"NODE_1_length_30814_cov_1830_085467_S003-60","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","VC_162_0",NA,NA,"NOTSURE_ClusterID5","NOTSURE_ClusterID9","NODE","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_30814_cov_1830_085467_S003-60","0"
"NODE_1_length_31340_cov_2066_144356_S003-105-REPEAT","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID6","Singleton_ClusterID10","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_31340_cov_2066_144356_S003-105-REPEAT","0"
"NODE_1_length_31801_cov_100_776888_S005-69","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_31801_cov_100_776888_S005-69","0"
"NODE_1_length_33444_cov_64_446279_S005-167","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","VC_318_0",NA,NA,"Singleton_ClusterID7","Singleton_ClusterID11","NODE","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_33444_cov_64_446279_S005-167","0"
"NODE_1_length_35208_cov_40_199055_S003-194","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID8","Singleton_ClusterID13","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_35208_cov_40_199055_S003-194","0"
"NODE_1_length_35615_cov_177_981119_S005-126","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","Overlap (VC_155/VC_189)",NA,NA,"NOTSURE_ClusterID9","NOTSURE_ClusterID14","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1_length_35615_cov_177_981119_S005-126","0"
