"","Isolation.source","Completeness","Cenote.taker.contig.name","original.contig.name","Length","Element.Name","Topology","Common.Viral.Domains","ORF.caller.used","BLASTP.hit.for.Taxonomy","BLASTN.result..if.any."
"1","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1043 ","NODE_3_length_44250_cov_60_264279_S006-10",44150," Siphoviridae sp. ctBVn043 "," circular ",15," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Phietavirus gi|119953680|ref|YP_950600.1| putative large terminase subunit [Staphylococcus virus CNPH82] 99.525 "," no blastn"
"2","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1045 ","NODE_5_length_8551_cov_2498_904532_S006-10",8474," Siphoviridae sp. ctiXH045 "," circular ",1," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|13095863|ref|NP_076752.1| integrase [Lactococcus phage bIL310] 36.829 "," no blastn"
"3","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1053 ","NODE_2_length_34573_cov_15_087170_S006-124",34483," Podoviridae sp. ctITU053 "," circular ",5," PHANOTATE "," Viruses; Caudovirales; Podoviridae; unclassified Podoviridae gi|526244987|ref|YP_008320314.1| phage terminase large subunit [Puniceispirillum phage HMO 2011] 33.406 "," no blastn"
"4","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1059 ","NODE_1_length_45934_cov_182_727501_S006-128",45857," Siphoviridae sp. ctbEd059 "," circular ",4," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|374671643|ref|YP_005102508.1| putative phage terminase large subunit [Bacteroides phage B124 14] 57.343 "," no blastn"
"5","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1060 ","NODE_3_length_41038_cov_66_337907_S006-128",40965," Siphoviridae sp. ctl1e060 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|208429857|ref|YP_002265410.1| large terminase [Clostridium phage phiCP39 O] 42.750 "," no blastn"
"6","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1071 ","NODE_1_length_40964_cov_254_868222_S006-131",40887," Siphoviridae sp. ctIXp071 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|971482478|ref|YP_009193979.1| terminase large subunit [Bacillus phage vB_BtS_BMBtp3] 67.482 "," no blastn"
"7","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1072 ","NODE_2_length_38500_cov_694_741145_S006-131",38423," Myoviridae sp. ct9r1072 "," circular ",10," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|414090443|ref|YP_006990556.1| terminase [Clostridium phage phiMMP04] 30.741 "," no blastn"
"8","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1100 ","NODE_3_length_5806_cov_6102_076628_S006-136",5729," Microviridae sp. ct6ZO100 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 36.228 "," no blastn"
"9","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1122 ","NODE_3_length_6589_cov_287_711302_S006-183",6512," Microviridae sp. cteXy122 "," circular ",3," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|971765486|ref|YP_009218538.1| replication protein VP4 [Parabacteroides phage YZ 2015a] 30.370 "," no blastn"
"10","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1139 ","NODE_22_length_6855_cov_32_599144_S006-186",6259," Microviridae sp. ctihp139 "," circular ",3," Prodigal (meta) "," Viruses; Microviridae; unclassified Microviridae gi|906476326|ref|YP_009160360.1| replication protein VP4, partial [Microviridae Bog9017_22] 31.298 "," no blastn"
"11","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1177 ","NODE_6_length_8998_cov_1007_947764_S006-20",8921," Siphoviridae sp. ct5aG177 "," circular ",1," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Phietavirus gi|66395898|ref|YP_240234.1| ORF013 [Staphylococcus virus 96] 31.399 "," no blastn"
"12","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1214 ","NODE_27_length_4543_cov_15_971787_S006-28",4426," Microviridae sp. ct4Fe214 "," circular ",4," Prodigal (meta) "," Viruses; Microviridae; Gokushovirinae; unclassified Gokushovirinae gi|906476396|ref|YP_009160400.1| replication protein VP4 [Gokushovirinae Fen7875_21] 35.926 "," no blastn"
"13","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1247 ","NODE_2_length_37484_cov_2642_094955_S006-44",37407," Siphoviridae sp. ctzyp247 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|41179314|ref|NP_958532.1| hypothetical protein Ljo_1439 [Lactobacillus prophage Lj928] 64.988 "," no blastn"
"14","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA126 ","NODE_3_length_35095_cov_25_927866_S003-179",35018," Myoviridae sp. ctJC2126 "," circular ",12," PHANOTATE "," Viruses; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus gi|971763867|ref|YP_009216852.1| putative terminase large subunit protein [Clostridium phage phiCDHM19] 69.613 "," no blastn"
"15","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1277 ","NODE_251_length_5183_cov_12_843322_S006-52",5106," Microviridae sp. ctEPn277 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|906476413|ref|YP_009160408.1| replication protein VP4 [Microviridae Fen7918_21] 29.880 "," no blastn"
"16","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1289 ","NODE_3_length_39608_cov_123_100933_S006-66",39531," Siphoviridae sp. cthrk289 "," circular ",13," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|208429857|ref|YP_002265410.1| large terminase [Clostridium phage phiCP39 O] 52.555 "," no blastn"
"17","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1301 ","NODE_3_length_35318_cov_281_565988_S006-68",35241," Podoviridae sp. ctQBT301 "," circular ",5," PHANOTATE "," Viruses; Caudovirales; Podoviridae; unclassified Podoviridae gi|526244987|ref|YP_008320314.1| phage terminase large subunit [Puniceispirillum phage HMO 2011] 31.707 "," no blastn"
"18","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1333 ","NODE_2_length_86919_cov_958_796930_S006-81",86778," Myoviridae sp. ctRsW333 "," circular ",8," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|326784324|ref|YP_004324722.1| terminase DNA packaging enzyme large subunit [Synechococcus phage S SSM5] 29.158 "," no blastn"
"19","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1360 ","NODE_2_length_50105_cov_30_859339_S007-125",49999," Myoviridae sp. ctiHi360 "," circular ",8," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|418489210|ref|YP_007003063.1| putative TerL large subunit terminase [Vibrio phage CP T1] 44.729 "," no blastn"
"20","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1406 ","NODE_23_length_5072_cov_11_309910_S007-129",4978," metagenomic plasmid sp. ctb5K406 "," circular ",0," PHANOTATE "," cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella gi|690387492|ref|YP_009062829.1|replication protein (plasmid) [Prevotella ruminicola] 58.594 "," no blastn"
"21","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1469 ","NODE_4_length_41893_cov_32_513727_S007-19",41744," Podoviridae sp. ctO0O469 "," circular ",7," PHANOTATE "," Viruses; Caudovirales; Podoviridae; Uetakevirus; unclassified Uetakevirus gi|418487633|ref|YP_007001973.1| putative phage terminase, large subunit [Escherichia phage TL 2011b] 54.678 "," no blastn"
"22","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1472 ","NODE_22_length_8357_cov_31_164372_S007-19",8226," Siphoviridae sp. ct8p1472 "," circular ",2," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|28876472|ref|NP_795676.1| putative DNA primase/helicase [Streptococcus phage 315.6] 27.052 "," no blastn"
"23","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1473 ","NODE_26_length_6069_cov_39_050234_S007-19",5992," Microviridae sp. ctOZU473 "," circular ",3," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|971765486|ref|YP_009218538.1| replication protein VP4 [Parabacteroides phage YZ 2015a] 27.237 "," no blastn"
"24","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1492 ","NODE_5_length_38231_cov_38_209991_S007-31",38154," Siphoviridae sp. ctFA4492 "," circular ",14," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|28876465|ref|NP_795683.1| putative terminase large subunit [Streptococcus phage 315.6] 83.168 "," no blastn"
"25","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1527 ","NODE_4_length_37514_cov_200_066806_S007-45",37437," Siphoviridae sp. ctqNo527 "," circular ",12," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; Phifelvirus; Enterococcus virus FL1 gi|281416362|ref|YP_003347496.1| terminase large subunit [Enterococcus phage phiFL1A] 55.422 "," no blastn"
"26","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1532 ","NODE_28_length_5054_cov_24_599357_S007-48",4977," metagenomic plasmid sp. ctbkR532 "," circular ",1," PHANOTATE "," cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus gi|10956488|ref|NP_044342.1|unnamed protein product (plasmid) [Geobacillus stearothermophilus] 29.921 "," no blastn"
"27","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1544 ","NODE_8_length_5983_cov_41_681849_S007-4",5906," Microviridae sp. ctXK6544 "," circular ",4," PHANOTATE "," Viruses; Microviridae; unclassified Microviridae gi|1043372884|ref|YP_009259740.1| replication initiator protein [Chimpanzee faeces associated microphage 2] 35.410 "," no blastn"
"28","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA154 ","NODE_1_length_52041_cov_41_675929_S003-190",51964," Myoviridae sp. ct8Fp154 "," circular ",9," PHANOTATE "," Viruses; Caudovirales; Myoviridae; unclassified Myoviridae gi|31544028|ref|NP_852753.1| putative terminase large subunit TerL [Haemophilus phage Aaphi23] 48.729 "," no blastn"
"29","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1599 ","NODE_1_length_42590_cov_35_469057_S007-61",42503," Siphoviridae sp. ctnQp599 "," circular ",16," PHANOTATE "," Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae gi|327197586|ref|YP_004301277.1| gp2 [Brochothrix phage NF5] 80.569 "," no blastn"
"30","unknown ","Complete genome (putative)"," Cenote2_22042020_DNA1600 ","NODE_3_length_40578_cov_239_911410_S007-61",40501," Myoviridae sp. ctORu600 "," circular ",11," PHANOTATE "," Viruses; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus gi|971763867|ref|YP_009216852.1| putative terminase large subunit protein [Clostridium phage phiCDHM19] 70.156 "," no blastn"
