"","contig_id","contig_length","genome_copies","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","provirus","termini","warnings","Annotation","Annotation_lineage"
"1","NODE_167_length_5048_cov_8_389459_S003-101",5048,1,6,0,2,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"2","NODE_193_length_4640_cov_5_014245_S003-101",4640,1,4,0,0,"Low-quality","Genome-fragment",4.38,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"3","NODE_1_length_31340_cov_2066_144356_S003-105-REPEAT",31340,1,48,12,1,"Complete","High-quality",100,"AAI-based",0,"No","27-bp-DTR","","Caudovirales","Caudovirales"
"4","NODE_1_length_38777_cov_465_209457_S003-110",38777,1,59,31,1,"High-quality","High-quality",100,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"5","NODE_10_length_18418_cov_66_797666_S003-110",18418,1,18,14,0,"Low-quality","Genome-fragment",46.36,"AAI-based",0,"No","","","NoAnnotation","NoAnnotation"
"6","NODE_12_length_14857_cov_37_241813_S003-110",14857,1,28,4,1,"Low-quality","Genome-fragment",36.46,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"7","NODE_14_length_12485_cov_1450_079868_S003-110",12485,1,23,5,0,"Low-quality","Genome-fragment",31.12,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"8","NODE_15_length_11807_cov_14_386530_S003-110",11807,1,12,5,0,"Low-quality","Genome-fragment",7.05,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"9","NODE_16_length_11686_cov_13_226376_S003-110",11686,1,16,0,0,"Low-quality","Genome-fragment",6.97,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"10","NODE_19_length_8089_cov_10_995881_S003-110",8089,1,11,8,0,"Low-quality","Genome-fragment",18.84,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"11","NODE_20_length_8000_cov_8_458286_S003-110",8000,1,6,4,0,"Low-quality","Genome-fragment",19,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"12","NODE_28_length_5998_cov_31_718291_S003-110",5998,1,7,4,0,"Low-quality","Genome-fragment",15.23,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"13","NODE_47_length_4655_cov_6_248799_S003-110",4655,1,12,0,0,"Low-quality","Genome-fragment",2.78,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"14","NODE_69_length_3770_cov_10_947739_S003-110",3770,1,6,4,0,"Low-quality","Genome-fragment",8.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"15","NODE_121_length_2882_cov_7_429947_S003-110",2882,1,5,1,0,"Low-quality","Genome-fragment",6.29,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"16","NODE_7_length_8947_cov_14_692559_S003-122",8947,1,14,4,0,"Low-quality","Genome-fragment",13.41,"AAI-based",0,"No","","","NoAnnotation","NoAnnotation"
"17","NODE_14_length_6905_cov_10_928969_S003-122",6905,1,9,3,0,"Low-quality","Genome-fragment",21.27,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"18","NODE_34_length_3258_cov_13_510846_S003-122",3258,1,6,1,0,"Low-quality","Genome-fragment",5.29,"AAI-based",0,"No","","","NoAnnotation","NoAnnotation"
"19","NODE_137_length_1225_cov_4_376307_S003-122",1225,1,4,1,0,"Low-quality","Genome-fragment",3.48,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"20","NODE_1_length_40529_cov_1735_651735_S003-128",40529,1,64,19,2,"High-quality","High-quality",97.6,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"21","NODE_15_length_10548_cov_16_492885_S003-128",10548,1,7,0,4,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Bathycoccus sp. RCC1105 virus BpV1","Viruses; Phycodnaviridae; Prasinovirus; unclassified Prasinovirus; Bathycoccus sp. RCC1105 virus BpV"
"22","NODE_70_length_6629_cov_11_187576_S003-128",6629,1,14,6,0,"Low-quality","Genome-fragment",19.41,"AAI-based",0,"No","","","Lactobacillus phage iA2","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"23","NODE_159_length_4777_cov_10_659149_S003-128",4777,1,11,3,0,"Low-quality","Genome-fragment",8.88,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"24","NODE_161_length_4756_cov_8_953836_S003-128",4756,1,6,5,0,"Low-quality","Genome-fragment",12.71,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"25","NODE_488_length_2795_cov_10_453642_S003-128",2795,1,6,3,0,"Low-quality","Genome-fragment",8.18,"AAI-based",0,"No","","","Lactobacillus phage iA2","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"26","NODE_614_length_2464_cov_4_472979_S003-128",2464,1,5,2,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"27","NODE_1450_length_1296_cov_4_648893_S003-128",1296,1,4,1,0,"Low-quality","Genome-fragment",3.16,"AAI-based",0,"No","","","Lactobacillus phage PLE3","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"28","NODE_1578_length_1201_cov_3_664591_S003-128",1201,1,2,0,0,"Low-quality","Genome-fragment",3.11,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"29","NODE_108_length_5732_cov_11_455880_S003-133",5732,1,11,5,0,"Low-quality","Genome-fragment",9.82,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"30","NODE_109_length_5690_cov_8_000534_S003-133",5690,1,11,1,0,"Low-quality","Genome-fragment",9.46,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"31","NODE_189_length_4718_cov_10_299720_S003-133",4718,1,5,0,2,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","",""
"32","NODE_820_length_2059_cov_8_461655_S003-133",2059,1,7,0,0,"Low-quality","Genome-fragment",6.34,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
